SURVIVAL_TYPE|CANCER_GROUP_SITE|PERIOD_YEARS|SEX|YEARS_AFTER_DIAGNOSIS|AGE_GROUP_YEARS|SURVIVAL|95_CI_LOWER_BOUND|95_CI_UPPER_BOUND
Observed|Acute lymphoblastic leukaemia|2015–2019|Males|2|All ages combined|0.801|0.776|0.823
Observed|Acute lymphoblastic leukaemia|2015–2019|Males|3|00–04|0.951|0.917|0.971
Observed|Acute lymphoblastic leukaemia|2015–2019|Males|3|05–09|0.974|0.933|0.99
Observed|Acute lymphoblastic leukaemia|2015–2019|Males|3|10–14|0.88|0.799|0.93
Observed|Acute lymphoblastic leukaemia|2015–2019|Males|3|15–19|0.849|0.754|0.909
Observed|Acute lymphoblastic leukaemia|2015–2019|Males|3|20–24|0.793|0.664|0.877
Observed|Acute lymphoblastic leukaemia|2015–2019|Males|3|25–29|0.816|0.666|0.903
Observed|Acute lymphoblastic leukaemia|2015–2019|Males|3|30–34|0.673|0.467|0.814
Observed|Acute lymphoblastic leukaemia|2015–2019|Males|3|35–39|0.762|0.593|0.869
Observed|Acute lymphoblastic leukaemia|2015–2019|Males|3|40–44|0.623|0.425|0.769
Observed|Acute lymphoblastic leukaemia|2015–2019|Males|3|45–49|||
Observed|Acute lymphoblastic leukaemia|2015–2019|Males|3|50–54|0.619|0.462|0.743
Observed|Acute lymphoblastic leukaemia|2015–2019|Males|3|55–59|0.467|0.306|0.613
Observed|Acute lymphoblastic leukaemia|2015–2019|Males|3|60–64|0.617|0.442|0.752
Observed|Acute lymphoblastic leukaemia|2015–2019|Males|3|65–69|||
Observed|Acute lymphoblastic leukaemia|2015–2019|Males|3|70–74|||
Observed|Acute lymphoblastic leukaemia|2015–2019|Males|3|75–79|||
Observed|Acute lymphoblastic leukaemia|2015–2019|Males|3|80–84|||
Observed|Acute lymphoblastic leukaemia|2015–2019|Males|3|85+|||
Observed|Acute lymphoblastic leukaemia|2015–2019|Males|3|All ages combined|0.768|0.742|0.792
Observed|Acute lymphoblastic leukaemia|2015–2019|Males|4|00–04|0.947|0.913|0.969
Observed|Acute lymphoblastic leukaemia|2015–2019|Males|4|05–09|0.968|0.925|0.987
Observed|Acute lymphoblastic leukaemia|2015–2019|Males|4|10–14|0.87|0.787|0.922
Observed|Acute lymphoblastic leukaemia|2015–2019|Males|4|15–19|0.813|0.713|0.881
Observed|Acute lymphoblastic leukaemia|2015–2019|Males|4|20–24|0.793|0.664|0.877
Observed|Acute lymphoblastic leukaemia|2015–2019|Males|4|25–29|0.816|0.666|0.903
Observed|Acute lymphoblastic leukaemia|2015–2019|Males|4|30–34|||
Observed|Acute lymphoblastic leukaemia|2015–2019|Males|4|35–39|0.736|0.565|0.848
Observed|Acute lymphoblastic leukaemia|2015–2019|Males|4|40–44|||
Observed|Acute lymphoblastic leukaemia|2015–2019|Males|4|45–49|||
Observed|Acute lymphoblastic leukaemia|2015–2019|Males|4|50–54|0.619|0.462|0.743
Observed|Acute lymphoblastic leukaemia|2015–2019|Males|4|55–59|||
Observed|Acute lymphoblastic leukaemia|2015–2019|Males|4|60–64|||
Observed|Acute lymphoblastic leukaemia|2015–2019|Males|4|65–69|||
Observed|Acute lymphoblastic leukaemia|2015–2019|Males|4|70–74|||
Observed|Acute lymphoblastic leukaemia|2015–2019|Males|4|75–79|||
Observed|Acute lymphoblastic leukaemia|2015–2019|Males|4|80–84|||
Observed|Acute lymphoblastic leukaemia|2015–2019|Males|4|85+|||
Observed|Acute lymphoblastic leukaemia|2015–2019|Males|4|All ages combined|0.746|0.719|0.77
Observed|Acute lymphoblastic leukaemia|2015–2019|Males|5|00–04|0.937|0.901|0.961
Observed|Acute lymphoblastic leukaemia|2015–2019|Males|5|05–09|0.962|0.917|0.983
Observed|Acute lymphoblastic leukaemia|2015–2019|Males|5|10–14|0.87|0.787|0.922
Observed|Acute lymphoblastic leukaemia|2015–2019|Males|5|15–19|0.813|0.713|0.881
Observed|Acute lymphoblastic leukaemia|2015–2019|Males|5|20–24|0.793|0.664|0.877
Observed|Acute lymphoblastic leukaemia|2015–2019|Males|5|25–29|0.816|0.666|0.903
Observed|Acute lymphoblastic leukaemia|2015–2019|Males|5|30–34|||
Observed|Acute lymphoblastic leukaemia|2015–2019|Males|5|35–39|0.713|0.542|0.829
Observed|Acute lymphoblastic leukaemia|2015–2019|Males|5|40–44|||
Observed|Acute lymphoblastic leukaemia|2015–2019|Males|5|45–49|||
Observed|Acute lymphoblastic leukaemia|2015–2019|Males|5|50–54|0.619|0.462|0.743
Observed|Acute lymphoblastic leukaemia|2015–2019|Males|5|55–59|||
Observed|Acute lymphoblastic leukaemia|2015–2019|Males|5|60–64|||
Observed|Acute lymphoblastic leukaemia|2015–2019|Males|5|65–69|||
Observed|Acute lymphoblastic leukaemia|2015–2019|Males|5|70–74|||
Observed|Acute lymphoblastic leukaemia|2015–2019|Males|5|75–79|||
Observed|Acute lymphoblastic leukaemia|2015–2019|Males|5|80–84|||
Observed|Acute lymphoblastic leukaemia|2015–2019|Males|5|85+|||
Observed|Acute lymphoblastic leukaemia|2015–2019|Males|5|All ages combined|0.736|0.709|0.761
Relative|Acute lymphoblastic leukaemia|2015–2019|Males|1|00–04|0.962|0.931|0.98
Relative|Acute lymphoblastic leukaemia|2015–2019|Males|1|05–09|0.987|0.949|0.997
Relative|Acute lymphoblastic leukaemia|2015–2019|Males|1|10–14|0.94|0.872|0.973
Relative|Acute lymphoblastic leukaemia|2015–2019|Males|1|15–19|0.927|0.845|0.967
Relative|Acute lymphoblastic leukaemia|2015–2019|Males|1|20–24|0.899|0.789|0.954
Relative|Acute lymphoblastic leukaemia|2015–2019|Males|1|25–29|0.885|0.744|0.951
Relative|Acute lymphoblastic leukaemia|2015–2019|Males|1|30–34|0.886|0.686|0.962
Relative|Acute lymphoblastic leukaemia|2015–2019|Males|1|35–39|0.82|0.658|0.91
Relative|Acute lymphoblastic leukaemia|2015–2019|Males|1|40–44|0.779|0.573|0.895
Relative|Acute lymphoblastic leukaemia|2015–2019|Males|1|45–49|0.904|0.762|0.964
Relative|Acute lymphoblastic leukaemia|2015–2019|Males|1|50–54|0.84|0.691|0.922
Relative|Acute lymphoblastic leukaemia|2015–2019|Males|1|55–59|0.748|0.57|0.862
Relative|Acute lymphoblastic leukaemia|2015–2019|Males|1|60–64|0.837|0.667|0.927
Relative|Acute lymphoblastic leukaemia|2015–2019|Males|1|65–69|0.517|0.349|0.663
Relative|Acute lymphoblastic leukaemia|2015–2019|Males|1|70–74|0.511|0.345|0.656
Relative|Acute lymphoblastic leukaemia|2015–2019|Males|1|75–79|0.584|0.378|0.748
Relative|Acute lymphoblastic leukaemia|2015–2019|Males|1|80–84|||
Relative|Acute lymphoblastic leukaemia|2015–2019|Males|1|85+|||
Relative|Acute lymphoblastic leukaemia|2015–2019|Males|1|All ages combined|0.866|0.844|0.885
Relative|Acute lymphoblastic leukaemia|2015–2019|Males|2|00–04|0.955|0.922|0.974
Relative|Acute lymphoblastic leukaemia|2015–2019|Males|2|05–09|0.981|0.942|0.994
Relative|Acute lymphoblastic leukaemia|2015–2019|Males|2|10–14|0.901|0.823|0.945
Relative|Acute lymphoblastic leukaemia|2015–2019|Males|2|15–19|0.905|0.819|0.952
Relative|Acute lymphoblastic leukaemia|2015–2019|Males|2|20–24|0.794|0.665|0.878
Relative|Acute lymphoblastic leukaemia|2015–2019|Males|2|25–29|0.839|0.691|0.921
Relative|Acute lymphoblastic leukaemia|2015–2019|Males|2|30–34|0.778|0.571|0.894
Relative|Acute lymphoblastic leukaemia|2015–2019|Males|2|35–39|0.792|0.626|0.891
Relative|Acute lymphoblastic leukaemia|2015–2019|Males|2|40–44|0.655|0.454|0.798
Relative|Acute lymphoblastic leukaemia|2015–2019|Males|2|45–49|0.813|0.641|0.909
Relative|Acute lymphoblastic leukaemia|2015–2019|Males|2|50–54|0.735|0.578|0.842
Relative|Acute lymphoblastic leukaemia|2015–2019|Males|2|55–59|0.618|0.44|0.756
Relative|Acute lymphoblastic leukaemia|2015–2019|Males|2|60–64|0.628|0.449|0.765
Relative|Acute lymphoblastic leukaemia|2015–2019|Males|2|65–69|||
Relative|Acute lymphoblastic leukaemia|2015–2019|Males|2|70–74|||
Relative|Acute lymphoblastic leukaemia|2015–2019|Males|2|75–79|||
Relative|Acute lymphoblastic leukaemia|2015–2019|Males|2|80–84|||
Relative|Acute lymphoblastic leukaemia|2015–2019|Males|2|85+|||
Relative|Acute lymphoblastic leukaemia|2015–2019|Males|2|All ages combined|0.807|0.782|0.83
Relative|Acute lymphoblastic leukaemia|2015–2019|Males|3|00–04|0.951|0.918|0.972
Relative|Acute lymphoblastic leukaemia|2015–2019|Males|3|05–09|0.975|0.934|0.991
Relative|Acute lymphoblastic leukaemia|2015–2019|Males|3|10–14|0.881|0.799|0.931
Relative|Acute lymphoblastic leukaemia|2015–2019|Males|3|15–19|0.85|0.755|0.91
Relative|Acute lymphoblastic leukaemia|2015–2019|Males|3|20–24|0.794|0.665|0.878
Relative|Acute lymphoblastic leukaemia|2015–2019|Males|3|25–29|0.818|0.667|0.905
Relative|Acute lymphoblastic leukaemia|2015–2019|Males|3|30–34|0.675|0.468|0.816
Relative|Acute lymphoblastic leukaemia|2015–2019|Males|3|35–39|0.765|0.595|0.872
Relative|Acute lymphoblastic leukaemia|2015–2019|Males|3|40–44|0.626|0.428|0.774
Relative|Acute lymphoblastic leukaemia|2015–2019|Males|3|45–49|||
Relative|Acute lymphoblastic leukaemia|2015–2019|Males|3|50–54|0.626|0.467|0.752
Relative|Acute lymphoblastic leukaemia|2015–2019|Males|3|55–59|0.476|0.312|0.624
Relative|Acute lymphoblastic leukaemia|2015–2019|Males|3|60–64|0.634|0.454|0.772
Relative|Acute lymphoblastic leukaemia|2015–2019|Males|3|65–69|||
Relative|Acute lymphoblastic leukaemia|2015–2019|Males|3|70–74|||
Relative|Acute lymphoblastic leukaemia|2015–2019|Males|3|75–79|||
Relative|Acute lymphoblastic leukaemia|2015–2019|Males|3|80–84|||
Relative|Acute lymphoblastic leukaemia|2015–2019|Males|3|85+|||
Relative|Acute lymphoblastic leukaemia|2015–2019|Males|3|All ages combined|0.776|0.75|0.8
Relative|Acute lymphoblastic leukaemia|2015–2019|Males|4|00–04|0.948|0.913|0.969
Relative|Acute lymphoblastic leukaemia|2015–2019|Males|4|05–09|0.969|0.926|0.987
Relative|Acute lymphoblastic leukaemia|2015–2019|Males|4|10–14|0.871|0.787|0.923
Relative|Acute lymphoblastic leukaemia|2015–2019|Males|4|15–19|0.814|0.714|0.883
Relative|Acute lymphoblastic leukaemia|2015–2019|Males|4|20–24|0.795|0.666|0.879
Relative|Acute lymphoblastic leukaemia|2015–2019|Males|4|25–29|0.818|0.668|0.906
Relative|Acute lymphoblastic leukaemia|2015–2019|Males|4|30–34|||
Relative|Acute lymphoblastic leukaemia|2015–2019|Males|4|35–39|0.74|0.568|0.853
Relative|Acute lymphoblastic leukaemia|2015–2019|Males|4|40–44|||
Relative|Acute lymphoblastic leukaemia|2015–2019|Males|4|45–49|||
Relative|Acute lymphoblastic leukaemia|2015–2019|Males|4|50–54|0.629|0.469|0.755
Relative|Acute lymphoblastic leukaemia|2015–2019|Males|4|55–59|||
Relative|Acute lymphoblastic leukaemia|2015–2019|Males|4|60–64|||
Relative|Acute lymphoblastic leukaemia|2015–2019|Males|4|65–69|||
Relative|Acute lymphoblastic leukaemia|2015–2019|Males|4|70–74|||
Relative|Acute lymphoblastic leukaemia|2015–2019|Males|4|75–79|||
Relative|Acute lymphoblastic leukaemia|2015–2019|Males|4|80–84|||
Relative|Acute lymphoblastic leukaemia|2015–2019|Males|4|85+|||
Relative|Acute lymphoblastic leukaemia|2015–2019|Males|4|All ages combined|0.755|0.728|0.78
Relative|Acute lymphoblastic leukaemia|2015–2019|Males|5|00–04|0.938|0.902|0.961
Relative|Acute lymphoblastic leukaemia|2015–2019|Males|5|05–09|0.962|0.918|0.983
Relative|Acute lymphoblastic leukaemia|2015–2019|Males|5|10–14|0.871|0.788|0.923
Relative|Acute lymphoblastic leukaemia|2015–2019|Males|5|15–19|0.815|0.715|0.883
Relative|Acute lymphoblastic leukaemia|2015–2019|Males|5|20–24|0.795|0.666|0.879
Relative|Acute lymphoblastic leukaemia|2015–2019|Males|5|25–29|0.819|0.668|0.907
Relative|Acute lymphoblastic leukaemia|2015–2019|Males|5|30–34|||
Relative|Acute lymphoblastic leukaemia|2015–2019|Males|5|35–39|0.717|0.545|0.835
Relative|Acute lymphoblastic leukaemia|2015–2019|Males|5|40–44|||
Relative|Acute lymphoblastic leukaemia|2015–2019|Males|5|45–49|||
Relative|Acute lymphoblastic leukaemia|2015–2019|Males|5|50–54|0.632|0.471|0.759
Relative|Acute lymphoblastic leukaemia|2015–2019|Males|5|55–59|||
Relative|Acute lymphoblastic leukaemia|2015–2019|Males|5|60–64|||
Relative|Acute lymphoblastic leukaemia|2015–2019|Males|5|65–69|||
Relative|Acute lymphoblastic leukaemia|2015–2019|Males|5|70–74|||
Relative|Acute lymphoblastic leukaemia|2015–2019|Males|5|75–79|||
Relative|Acute lymphoblastic leukaemia|2015–2019|Males|5|80–84|||
Relative|Acute lymphoblastic leukaemia|2015–2019|Males|5|85+|||
Relative|Acute lymphoblastic leukaemia|2015–2019|Males|5|All ages combined|0.746|0.718|0.771
Observed|Acute lymphoblastic leukaemia|2015–2019|Females|1|00–04|0.976|0.947|0.989
Observed|Acute lymphoblastic leukaemia|2015–2019|Females|1|05–09|0.993|0.951|0.999
Observed|Acute lymphoblastic leukaemia|2015–2019|Females|1|10–14|0.933|0.83|0.974
Observed|Acute lymphoblastic leukaemia|2015–2019|Females|1|15–19|0.907|0.77|0.964
Observed|Acute lymphoblastic leukaemia|2015–2019|Females|1|20–24|0.875|0.661|0.958
Observed|Acute lymphoblastic leukaemia|2015–2019|Females|1|25–29|||
Observed|Acute lymphoblastic leukaemia|2015–2019|Females|1|30–34|||
Observed|Acute lymphoblastic leukaemia|2015–2019|Females|1|35–39|0.842|0.632|0.937
Observed|Acute lymphoblastic leukaemia|2015–2019|Females|1|40–44|0.863|0.634|0.954
Observed|Acute lymphoblastic leukaemia|2015–2019|Females|1|45–49|0.786|0.584|0.897
Observed|Acute lymphoblastic leukaemia|2015–2019|Females|1|50–54|0.704|0.496|0.839
Observed|Acute lymphoblastic leukaemia|2015–2019|Females|1|55–59|0.851|0.679|0.935
Observed|Acute lymphoblastic leukaemia|2015–2019|Females|1|60–64|0.711|0.506|0.843
Observed|Acute lymphoblastic leukaemia|2015–2019|Females|1|65–69|0.781|0.595|0.889
Observed|Acute lymphoblastic leukaemia|2015–2019|Females|1|70–74|||
Observed|Acute lymphoblastic leukaemia|2015–2019|Females|1|75–79|||
Observed|Acute lymphoblastic leukaemia|2015–2019|Females|1|80–84|||
Observed|Acute lymphoblastic leukaemia|2015–2019|Females|1|85+|||
Observed|Acute lymphoblastic leukaemia|2015–2019|Females|1|All ages combined|0.858|0.832|0.88
Observed|Acute lymphoblastic leukaemia|2015–2019|Females|2|00–04|0.964|0.931|0.981
Observed|Acute lymphoblastic leukaemia|2015–2019|Females|2|05–09|0.978|0.934|0.993
Observed|Acute lymphoblastic leukaemia|2015–2019|Females|2|10–14|0.884|0.773|0.943
Observed|Acute lymphoblastic leukaemia|2015–2019|Females|2|15–19|0.824|0.68|0.908
Observed|Acute lymphoblastic leukaemia|2015–2019|Females|2|20–24|0.838|0.625|0.936
Observed|Acute lymphoblastic leukaemia|2015–2019|Females|2|25–29|||
Observed|Acute lymphoblastic leukaemia|2015–2019|Females|2|30–34|||
Observed|Acute lymphoblastic leukaemia|2015–2019|Females|2|35–39|0.694|0.481|0.833
Observed|Acute lymphoblastic leukaemia|2015–2019|Females|2|40–44|||
Observed|Acute lymphoblastic leukaemia|2015–2019|Females|2|45–49|||
Observed|Acute lymphoblastic leukaemia|2015–2019|Females|2|50–54|||
Observed|Acute lymphoblastic leukaemia|2015–2019|Females|2|55–59|0.6|0.413|0.744
Observed|Acute lymphoblastic leukaemia|2015–2019|Females|2|60–64|||
Observed|Acute lymphoblastic leukaemia|2015–2019|Females|2|65–69|||
Observed|Acute lymphoblastic leukaemia|2015–2019|Females|2|70–74|||
Observed|Acute lymphoblastic leukaemia|2015–2019|Females|2|75–79|||
Observed|Acute lymphoblastic leukaemia|2015–2019|Females|2|80–84|||
Observed|Acute lymphoblastic leukaemia|2015–2019|Females|2|85+|||
Observed|Acute lymphoblastic leukaemia|2015–2019|Females|2|All ages combined|0.787|0.757|0.813
Observed|Acute lymphoblastic leukaemia|2015–2019|Females|3|00–04|0.948|0.911|0.969
Observed|Acute lymphoblastic leukaemia|2015–2019|Females|3|05–09|0.971|0.925|0.989
Observed|Acute lymphoblastic leukaemia|2015–2019|Females|3|10–14|0.884|0.773|0.943
Observed|Acute lymphoblastic leukaemia|2015–2019|Females|3|15–19|0.761|0.611|0.86
Observed|Acute lymphoblastic leukaemia|2015–2019|Females|3|20–24|0.806|0.596|0.914
Observed|Acute lymphoblastic leukaemia|2015–2019|Females|3|25–29|||
Observed|Acute lymphoblastic leukaemia|2015–2019|Females|3|30–34|||
Observed|Acute lymphoblastic leukaemia|2015–2019|Females|3|35–39|||
Observed|Acute lymphoblastic leukaemia|2015–2019|Females|3|40–44|||
Observed|Acute lymphoblastic leukaemia|2015–2019|Females|3|45–49|||
Observed|Acute lymphoblastic leukaemia|2015–2019|Females|3|50–54|||
Observed|Acute lymphoblastic leukaemia|2015–2019|Females|3|55–59|||
Observed|Acute lymphoblastic leukaemia|2015–2019|Females|3|60–64|||
Observed|Acute lymphoblastic leukaemia|2015–2019|Females|3|65–69|||
Observed|Acute lymphoblastic leukaemia|2015–2019|Females|3|70–74|||
Observed|Acute lymphoblastic leukaemia|2015–2019|Females|3|75–79|||
Observed|Acute lymphoblastic leukaemia|2015–2019|Females|3|80–84|||
Observed|Acute lymphoblastic leukaemia|2015–2019|Females|3|85+|||
Observed|Acute lymphoblastic leukaemia|2015–2019|Females|3|All ages combined|0.742|0.711|0.771
Observed|Acute lymphoblastic leukaemia|2015–2019|Females|4|00–04|0.943|0.906|0.966
Observed|Acute lymphoblastic leukaemia|2015–2019|Females|4|05–09|0.971|0.925|0.989
Observed|Acute lymphoblastic leukaemia|2015–2019|Females|4|10–14|0.884|0.773|0.943
Observed|Acute lymphoblastic leukaemia|2015–2019|Females|4|15–19|0.715|0.56|0.823
Observed|Acute lymphoblastic leukaemia|2015–2019|Females|4|20–24|0.773|0.564|0.891
Observed|Acute lymphoblastic leukaemia|2015–2019|Females|4|25–29|||
Observed|Acute lymphoblastic leukaemia|2015–2019|Females|4|30–34|||
Observed|Acute lymphoblastic leukaemia|2015–2019|Females|4|35–39|||
Observed|Acute lymphoblastic leukaemia|2015–2019|Females|4|40–44|||
Observed|Acute lymphoblastic leukaemia|2015–2019|Females|4|45–49|||
Observed|Acute lymphoblastic leukaemia|2015–2019|Females|4|50–54|||
Observed|Acute lymphoblastic leukaemia|2015–2019|Females|4|55–59|||
Observed|Acute lymphoblastic leukaemia|2015–2019|Females|4|60–64|||
Observed|Acute lymphoblastic leukaemia|2015–2019|Females|4|65–69|||
Observed|Acute lymphoblastic leukaemia|2015–2019|Females|4|70–74|||
Observed|Acute lymphoblastic leukaemia|2015–2019|Females|4|75–79|||
Observed|Acute lymphoblastic leukaemia|2015–2019|Females|4|80–84|||
Observed|Acute lymphoblastic leukaemia|2015–2019|Females|4|85+|||
Observed|Acute lymphoblastic leukaemia|2015–2019|Females|4|All ages combined|0.725|0.693|0.754
Observed|Acute lymphoblastic leukaemia|2015–2019|Females|5|00–04|0.943|0.906|0.966
Observed|Acute lymphoblastic leukaemia|2015–2019|Females|5|05–09|0.971|0.925|0.989
Observed|Acute lymphoblastic leukaemia|2015–2019|Females|5|10–14|0.884|0.773|0.943
Observed|Acute lymphoblastic leukaemia|2015–2019|Females|5|15–19|0.692|0.535|0.804
Observed|Acute lymphoblastic leukaemia|2015–2019|Females|5|20–24|||
Observed|Acute lymphoblastic leukaemia|2015–2019|Females|5|25–29|||
Observed|Acute lymphoblastic leukaemia|2015–2019|Females|5|30–34|||
Observed|Acute lymphoblastic leukaemia|2015–2019|Females|5|35–39|||
Observed|Acute lymphoblastic leukaemia|2015–2019|Females|5|40–44|||
Observed|Acute lymphoblastic leukaemia|2015–2019|Females|5|45–49|||
Observed|Acute lymphoblastic leukaemia|2015–2019|Females|5|50–54|||
Observed|Acute lymphoblastic leukaemia|2015–2019|Females|5|55–59|||
Observed|Acute lymphoblastic leukaemia|2015–2019|Females|5|60–64|||
Observed|Acute lymphoblastic leukaemia|2015–2019|Females|5|65–69|||
Observed|Acute lymphoblastic leukaemia|2015–2019|Females|5|70–74|||
Observed|Acute lymphoblastic leukaemia|2015–2019|Females|5|75–79|||
Observed|Acute lymphoblastic leukaemia|2015–2019|Females|5|80–84|||
Observed|Acute lymphoblastic leukaemia|2015–2019|Females|5|85+|||
Observed|Acute lymphoblastic leukaemia|2015–2019|Females|5|All ages combined|0.716|0.684|0.746
Relative|Acute lymphoblastic leukaemia|2015–2019|Females|1|00–04|0.976|0.947|0.989
Relative|Acute lymphoblastic leukaemia|2015–2019|Females|1|05–09|0.993|0.951|0.999
Relative|Acute lymphoblastic leukaemia|2015–2019|Females|1|10–14|0.933|0.831|0.974
Relative|Acute lymphoblastic leukaemia|2015–2019|Females|1|15–19|0.907|0.77|0.964
Relative|Acute lymphoblastic leukaemia|2015–2019|Females|1|20–24|0.875|0.662|0.958
Relative|Acute lymphoblastic leukaemia|2015–2019|Females|1|25–29|||
Relative|Acute lymphoblastic leukaemia|2015–2019|Females|1|30–34|||
Relative|Acute lymphoblastic leukaemia|2015–2019|Females|1|35–39|0.842|0.633|0.938
Relative|Acute lymphoblastic leukaemia|2015–2019|Females|1|40–44|0.864|0.634|0.955
Relative|Acute lymphoblastic leukaemia|2015–2019|Females|1|45–49|0.787|0.585|0.898
Relative|Acute lymphoblastic leukaemia|2015–2019|Females|1|50–54|0.705|0.497|0.841
Relative|Acute lymphoblastic leukaemia|2015–2019|Females|1|55–59|0.854|0.681|0.938
Relative|Acute lymphoblastic leukaemia|2015–2019|Females|1|60–64|0.715|0.508|0.847
Relative|Acute lymphoblastic leukaemia|2015–2019|Females|1|65–69|0.787|0.6|0.895
Relative|Acute lymphoblastic leukaemia|2015–2019|Females|1|70–74|||
Relative|Acute lymphoblastic leukaemia|2015–2019|Females|1|75–79|||
Relative|Acute lymphoblastic leukaemia|2015–2019|Females|1|80–84|||
Relative|Acute lymphoblastic leukaemia|2015–2019|Females|1|85+|||
Relative|Acute lymphoblastic leukaemia|2015–2019|Females|1|All ages combined|0.862|0.836|0.884
Relative|Acute lymphoblastic leukaemia|2015–2019|Females|2|00–04|0.964|0.932|0.981
Relative|Acute lymphoblastic leukaemia|2015–2019|Females|2|05–09|0.978|0.935|0.993
Relative|Acute lymphoblastic leukaemia|2015–2019|Females|2|10–14|0.884|0.773|0.943
Relative|Acute lymphoblastic leukaemia|2015–2019|Females|2|15–19|0.825|0.68|0.908
Relative|Acute lymphoblastic leukaemia|2015–2019|Females|2|20–24|0.839|0.625|0.936
Relative|Acute lymphoblastic leukaemia|2015–2019|Females|2|25–29|||
Relative|Acute lymphoblastic leukaemia|2015–2019|Females|2|30–34|||
Relative|Acute lymphoblastic leukaemia|2015–2019|Females|2|35–39|0.695|0.482|0.834
Relative|Acute lymphoblastic leukaemia|2015–2019|Females|2|40–44|||
Relative|Acute lymphoblastic leukaemia|2015–2019|Females|2|45–49|||
Relative|Acute lymphoblastic leukaemia|2015–2019|Females|2|50–54|||
Relative|Acute lymphoblastic leukaemia|2015–2019|Females|2|55–59|0.604|0.415|0.749
Relative|Acute lymphoblastic leukaemia|2015–2019|Females|2|60–64|||
Relative|Acute lymphoblastic leukaemia|2015–2019|Females|2|65–69|||
Relative|Acute lymphoblastic leukaemia|2015–2019|Females|2|70–74|||
Relative|Acute lymphoblastic leukaemia|2015–2019|Females|2|75–79|||
Relative|Acute lymphoblastic leukaemia|2015–2019|Females|2|80–84|||
Relative|Acute lymphoblastic leukaemia|2015–2019|Females|2|85+|||
