DATA_TYPE|CANCER_GROUP_SITE|YEAR|SEX|STATE_OR_TERRITORY|COUNT
Incidence|Acute myeloid leukaemia|2019|Persons|Victoria|280
Incidence|Acute myeloid leukaemia|2019|Persons|Queensland|238
Incidence|Acute myeloid leukaemia|2019|Persons|Western Australia|120
Incidence|Acute myeloid leukaemia|2019|Persons|South Australia|95
Incidence|Acute myeloid leukaemia|2019|Persons|Tasmania|35
Incidence|Acute myeloid leukaemia|2019|Persons|Australian Capital Territory|18
Incidence|Acute myeloid leukaemia|2019|Persons|Northern Territory|6
Incidence|Acute myeloid leukaemia|2019|Persons|Australia|1206
Incidence|All blood cancers combined|2019|Males|New South Wales|3175
Incidence|All blood cancers combined|2019|Males|Victoria|2646
Incidence|All blood cancers combined|2019|Males|Queensland|2018
Incidence|All blood cancers combined|2019|Males|Western Australia|713
Incidence|All blood cancers combined|2019|Males|South Australia|722
Incidence|All blood cancers combined|2019|Males|Tasmania|236
Incidence|All blood cancers combined|2019|Males|Australian Capital Territory|131
Incidence|All blood cancers combined|2019|Males|Northern Territory|39
Incidence|All blood cancers combined|2019|Males|Australia|9687
Incidence|All blood cancers combined|2019|Females|New South Wales|2238
Incidence|All blood cancers combined|2019|Females|Victoria|1942
Incidence|All blood cancers combined|2019|Females|Queensland|1483
Incidence|All blood cancers combined|2019|Females|Western Australia|533
Incidence|All blood cancers combined|2019|Females|South Australia|474
Incidence|All blood cancers combined|2019|Females|Tasmania|147
Incidence|All blood cancers combined|2019|Females|Australian Capital Territory|89
Incidence|All blood cancers combined|2019|Females|Northern Territory|28
Incidence|All blood cancers combined|2019|Females|Australia|6932
Incidence|All blood cancers combined|2019|Persons|New South Wales|5413
Incidence|All blood cancers combined|2019|Persons|Victoria|4588
Incidence|All blood cancers combined|2019|Persons|Queensland|3501
Incidence|All blood cancers combined|2019|Persons|Western Australia|1246
Incidence|All blood cancers combined|2019|Persons|South Australia|1196
Incidence|All blood cancers combined|2019|Persons|Tasmania|383
Incidence|All blood cancers combined|2019|Persons|Australian Capital Territory|220
Incidence|All blood cancers combined|2019|Persons|Northern Territory|67
Incidence|All blood cancers combined|2019|Persons|Australia|16619
Incidence|All cancers combined|2019|Males|New South Wales|26322
Incidence|All cancers combined|2019|Males|Victoria|19831
Incidence|All cancers combined|2019|Males|Queensland|17827
Incidence|All cancers combined|2019|Males|Western Australia|7744
Incidence|All cancers combined|2019|Males|South Australia|6432
Incidence|All cancers combined|2019|Males|Tasmania|2044
Incidence|All cancers combined|2019|Males|Australian Capital Territory|1017
Incidence|All cancers combined|2019|Males|Northern Territory|470
Incidence|All cancers combined|2019|Males|Australia|81792
Incidence|All cancers combined|2019|Females|New South Wales|21628
Incidence|All cancers combined|2019|Females|Victoria|16075
Incidence|All cancers combined|2019|Females|Queensland|14046
Incidence|All cancers combined|2019|Females|Western Australia|6181
Incidence|All cancers combined|2019|Females|South Australia|4921
Incidence|All cancers combined|2019|Females|Tasmania|1626
Incidence|All cancers combined|2019|Females|Australian Capital Territory|891
Incidence|All cancers combined|2019|Females|Northern Territory|360
Incidence|All cancers combined|2019|Females|Australia|65793
Incidence|All cancers combined|2019|Persons|New South Wales|47950
Incidence|All cancers combined|2019|Persons|Victoria|35907
Incidence|All cancers combined|2019|Persons|Queensland|31873
Incidence|All cancers combined|2019|Persons|Western Australia|13925
Incidence|All cancers combined|2019|Persons|South Australia|11353
Incidence|All cancers combined|2019|Persons|Tasmania|3670
Incidence|All cancers combined|2019|Persons|Australian Capital Territory|1909
Incidence|All cancers combined|2019|Persons|Northern Territory|830
Incidence|All cancers combined|2019|Persons|Australia|147586
Incidence|All sarcomas combined|2019|Males|New South Wales|458
Incidence|All sarcomas combined|2019|Males|Victoria|293
Incidence|All sarcomas combined|2019|Males|Queensland|284
Incidence|All sarcomas combined|2019|Males|Western Australia|128
Incidence|All sarcomas combined|2019|Males|South Australia|82
Incidence|All sarcomas combined|2019|Males|Tasmania|24
Incidence|All sarcomas combined|2019|Males|Australian Capital Territory|19
Incidence|All sarcomas combined|2019|Males|Northern Territory|6
Incidence|All sarcomas combined|2019|Males|Australia|1297
Incidence|All sarcomas combined|2019|Females|New South Wales|323
Incidence|All sarcomas combined|2019|Females|Victoria|234
Incidence|All sarcomas combined|2019|Females|Queensland|242
Incidence|All sarcomas combined|2019|Females|Western Australia|90
Incidence|All sarcomas combined|2019|Females|South Australia|60
Incidence|All sarcomas combined|2019|Females|Tasmania|24
Incidence|All sarcomas combined|2019|Females|Australian Capital Territory|17
Incidence|All sarcomas combined|2019|Females|Northern Territory|5
Incidence|All sarcomas combined|2019|Females|Australia|994
Incidence|All sarcomas combined|2019|Persons|New South Wales|781
Incidence|All sarcomas combined|2019|Persons|Victoria|527
Incidence|All sarcomas combined|2019|Persons|Queensland|526
Incidence|All sarcomas combined|2019|Persons|Western Australia|218
Incidence|All sarcomas combined|2019|Persons|South Australia|142
Incidence|All sarcomas combined|2019|Persons|Tasmania|48
Incidence|All sarcomas combined|2019|Persons|Australian Capital Territory|36
Incidence|All sarcomas combined|2019|Persons|Northern Territory|11
Incidence|All sarcomas combined|2019|Persons|Australia|2291
Incidence|Ampullary cancer|2019|Males|New South Wales|39
Incidence|Ampullary cancer|2019|Males|Victoria|30
Incidence|Ampullary cancer|2019|Males|Queensland|17
Incidence|Ampullary cancer|2019|Males|Western Australia|6
Incidence|Ampullary cancer|2019|Males|South Australia|7
Incidence|Ampullary cancer|2019|Males|Tasmania|1
Incidence|Ampullary cancer|2019|Males|Australian Capital Territory|2
Incidence|Ampullary cancer|2019|Males|Northern Territory|1
Incidence|Ampullary cancer|2019|Males|Australia|103
Incidence|Ampullary cancer|2019|Females|New South Wales|41
Incidence|Ampullary cancer|2019|Females|Victoria|22
Incidence|Ampullary cancer|2019|Females|Queensland|16
Incidence|Ampullary cancer|2019|Females|Western Australia|7
Incidence|Ampullary cancer|2019|Females|South Australia|4
Incidence|Ampullary cancer|2019|Females|Tasmania|3
Incidence|Ampullary cancer|2019|Females|Australian Capital Territory|1
Incidence|Ampullary cancer|2019|Females|Northern Territory|1
Incidence|Ampullary cancer|2019|Females|Australia|95
Incidence|Ampullary cancer|2019|Persons|New South Wales|80
Incidence|Ampullary cancer|2019|Persons|Victoria|52
Incidence|Ampullary cancer|2019|Persons|Queensland|33
Incidence|Ampullary cancer|2019|Persons|Western Australia|13
Incidence|Ampullary cancer|2019|Persons|South Australia|11
Incidence|Ampullary cancer|2019|Persons|Tasmania|4
Incidence|Ampullary cancer|2019|Persons|Australian Capital Territory|3
Incidence|Ampullary cancer|2019|Persons|Northern Territory|2
Incidence|Ampullary cancer|2019|Persons|Australia|198
Incidence|Anal cancer|2019|Males|New South Wales|72
Incidence|Anal cancer|2019|Males|Victoria|43
Incidence|Anal cancer|2019|Males|Queensland|35
Incidence|Anal cancer|2019|Males|Western Australia|15
Incidence|Anal cancer|2019|Males|South Australia|10
Incidence|Anal cancer|2019|Males|Tasmania|13
Incidence|Anal cancer|2019|Males|Australian Capital Territory|3
Incidence|Anal cancer|2019|Males|Northern Territory|1
Incidence|Anal cancer|2019|Males|Australia|196
Incidence|Anal cancer|2019|Females|New South Wales|98
Incidence|Anal cancer|2019|Females|Victoria|73
Incidence|Anal cancer|2019|Females|Queensland|91
Incidence|Anal cancer|2019|Females|Western Australia|21
Incidence|Anal cancer|2019|Females|South Australia|32
Incidence|Anal cancer|2019|Females|Tasmania|6
Incidence|Anal cancer|2019|Females|Australian Capital Territory|3
Incidence|Anal cancer|2019|Females|Northern Territory|2
Incidence|Anal cancer|2019|Females|Australia|328
Incidence|Anal cancer|2019|Persons|New South Wales|170
Incidence|Anal cancer|2019|Persons|Victoria|116
Incidence|Anal cancer|2019|Persons|Queensland|126
Incidence|Anal cancer|2019|Persons|Western Australia|36
Incidence|Anal cancer|2019|Persons|South Australia|42
Incidence|Anal cancer|2019|Persons|Tasmania|19
Incidence|Anal cancer|2019|Persons|Australian Capital Territory|6
Incidence|Anal cancer|2019|Persons|Northern Territory|4
Incidence|Anal cancer|2019|Persons|Australia|524
Incidence|Bladder cancer|2019|Males|New South Wales|737
Incidence|Bladder cancer|2019|Males|Victoria|474
Incidence|Bladder cancer|2019|Males|Queensland|434
Incidence|Bladder cancer|2019|Males|Western Australia|190
Incidence|Bladder cancer|2019|Males|South Australia|222
Incidence|Bladder cancer|2019|Males|Tasmania|48
Incidence|Bladder cancer|2019|Males|Australian Capital Territory|24
Incidence|Bladder cancer|2019|Males|Northern Territory|13
Incidence|Bladder cancer|2019|Males|Australia|2140
Incidence|Bladder cancer|2019|Females|New South Wales|249
Incidence|Bladder cancer|2019|Females|Victoria|166
Incidence|Bladder cancer|2019|Females|Queensland|113
Incidence|Bladder cancer|2019|Females|Western Australia|58
Incidence|Bladder cancer|2019|Females|South Australia|53
Incidence|Bladder cancer|2019|Females|Tasmania|24
Incidence|Bladder cancer|2019|Females|Australian Capital Territory|6
Incidence|Bladder cancer|2019|Females|Northern Territory|3
Incidence|Bladder cancer|2019|Females|Australia|675
Incidence|Bladder cancer|2019|Persons|New South Wales|986
Incidence|Bladder cancer|2019|Persons|Victoria|640
Incidence|Bladder cancer|2019|Persons|Queensland|547
Incidence|Bladder cancer|2019|Persons|Western Australia|248
Incidence|Bladder cancer|2019|Persons|South Australia|275
Incidence|Bladder cancer|2019|Persons|Tasmania|72
Incidence|Bladder cancer|2019|Persons|Australian Capital Territory|30
Incidence|Bladder cancer|2019|Persons|Northern Territory|17
Incidence|Bladder cancer|2019|Persons|Australia|2815
Incidence|Bone cancer|2019|Males|New South Wales|49
Incidence|Bone cancer|2019|Males|Victoria|43
Incidence|Bone cancer|2019|Males|Queensland|40
Incidence|Bone cancer|2019|Males|Western Australia|14
Incidence|Bone cancer|2019|Males|South Australia|3
Incidence|Bone cancer|2019|Males|Tasmania|1
Incidence|Bone cancer|2019|Males|Australian Capital Territory|3
Incidence|Bone cancer|2019|Males|Northern Territory|1
Incidence|Bone cancer|2019|Males|Australia|155
Incidence|Bone cancer|2019|Females|New South Wales|29
Incidence|Bone cancer|2019|Females|Victoria|17
Incidence|Bone cancer|2019|Females|Queensland|22
Incidence|Bone cancer|2019|Females|Western Australia|9
Incidence|Bone cancer|2019|Females|South Australia|9
Incidence|Bone cancer|2019|Females|Tasmania|0
Incidence|Bone cancer|2019|Females|Australian Capital Territory|2
Incidence|Bone cancer|2019|Females|Northern Territory|1
Incidence|Bone cancer|2019|Females|Australia|87
Incidence|Bone cancer|2019|Persons|New South Wales|78
Incidence|Bone cancer|2019|Persons|Victoria|60
Incidence|Bone cancer|2019|Persons|Queensland|62
Incidence|Bone cancer|2019|Persons|Western Australia|23
Incidence|Bone cancer|2019|Persons|South Australia|12
Incidence|Bone cancer|2019|Persons|Tasmania|1
Incidence|Bone cancer|2019|Persons|Australian Capital Territory|5
Incidence|Bone cancer|2019|Persons|Northern Territory|2
Incidence|Bone cancer|2019|Persons|Australia|242
Incidence|Brain and other central nervous system (cancer of the)|2019|Males|New South Wales|370
Incidence|Brain and other central nervous system (cancer of the)|2019|Males|Victoria|290
Incidence|Brain and other central nervous system (cancer of the)|2019|Males|Queensland|212
Incidence|Brain and other central nervous system (cancer of the)|2019|Males|Western Australia|119
Incidence|Brain and other central nervous system (cancer of the)|2019|Males|South Australia|100
Incidence|Brain and other central nervous system (cancer of the)|2019|Males|Tasmania|34
Incidence|Brain and other central nervous system (cancer of the)|2019|Males|Australian Capital Territory|18
Incidence|Brain and other central nervous system (cancer of the)|2019|Males|Northern Territory|7
Incidence|Brain and other central nervous system (cancer of the)|2019|Males|Australia|1147
Incidence|Brain and other central nervous system (cancer of the)|2019|Females|New South Wales|248
Incidence|Brain and other central nervous system (cancer of the)|2019|Females|Victoria|224
Incidence|Brain and other central nervous system (cancer of the)|2019|Females|Queensland|168
Incidence|Brain and other central nervous system (cancer of the)|2019|Females|Western Australia|66
Incidence|Brain and other central nervous system (cancer of the)|2019|Females|South Australia|70
Incidence|Brain and other central nervous system (cancer of the)|2019|Females|Tasmania|23
Incidence|Brain and other central nervous system (cancer of the)|2019|Females|Australian Capital Territory|14
Incidence|Brain and other central nervous system (cancer of the)|2019|Females|Northern Territory|4
Incidence|Brain and other central nervous system (cancer of the)|2019|Females|Australia|816
Incidence|Brain and other central nervous system (cancer of the)|2019|Persons|New South Wales|618
Incidence|Brain and other central nervous system (cancer of the)|2019|Persons|Victoria|514
Incidence|Brain and other central nervous system (cancer of the)|2019|Persons|Queensland|380
Incidence|Brain and other central nervous system (cancer of the)|2019|Persons|Western Australia|185
Incidence|Brain and other central nervous system (cancer of the)|2019|Persons|South Australia|170
Incidence|Brain and other central nervous system (cancer of the)|2019|Persons|Tasmania|57
Incidence|Brain and other central nervous system (cancer of the)|2019|Persons|Australian Capital Territory|32
Incidence|Brain and other central nervous system (cancer of the)|2019|Persons|Northern Territory|11
Incidence|Brain and other central nervous system (cancer of the)|2019|Persons|Australia|1963
Incidence|Brain cancer|2019|Males|New South Wales|350
Incidence|Brain cancer|2019|Males|Victoria|274
Incidence|Brain cancer|2019|Males|Queensland|199
Incidence|Brain cancer|2019|Males|Western Australia|112
Incidence|Brain cancer|2019|Males|South Australia|93
Incidence|Brain cancer|2019|Males|Tasmania|30
Incidence|Brain cancer|2019|Males|Australian Capital Territory|17
Incidence|Brain cancer|2019|Males|Northern Territory|7
Incidence|Brain cancer|2019|Males|Australia|1078
Incidence|Brain cancer|2019|Females|New South Wales|223
Incidence|Brain cancer|2019|Females|Victoria|207
Incidence|Brain cancer|2019|Females|Queensland|157
Incidence|Brain cancer|2019|Females|Western Australia|63
Incidence|Brain cancer|2019|Females|South Australia|65
Incidence|Brain cancer|2019|Females|Tasmania|20
Incidence|Brain cancer|2019|Females|Australian Capital Territory|13
Incidence|Brain cancer|2019|Females|Northern Territory|4
Incidence|Brain cancer|2019|Females|Australia|750
Incidence|Brain cancer|2019|Persons|New South Wales|573
Incidence|Brain cancer|2019|Persons|Victoria|481
Incidence|Brain cancer|2019|Persons|Queensland|356
Incidence|Brain cancer|2019|Persons|Western Australia|175
Incidence|Brain cancer|2019|Persons|South Australia|158
Incidence|Brain cancer|2019|Persons|Tasmania|50
Incidence|Brain cancer|2019|Persons|Australian Capital Territory|30
Incidence|Brain cancer|2019|Persons|Northern Territory|11
Incidence|Brain cancer|2019|Persons|Australia|1828
Incidence|Breast cancer|2019|Males|New South Wales|44
Incidence|Breast cancer|2019|Males|Victoria|40
Incidence|Breast cancer|2019|Males|Queensland|35
Incidence|Breast cancer|2019|Males|Western Australia|15
Incidence|Breast cancer|2019|Males|South Australia|16
Incidence|Breast cancer|2019|Males|Tasmania|4
Incidence|Breast cancer|2019|Males|Australian Capital Territory|2
Incidence|Breast cancer|2019|Males|Northern Territory|2
Incidence|Breast cancer|2019|Males|Australia|163
Incidence|Breast cancer|2019|Females|New South Wales|5971
Incidence|Breast cancer|2019|Females|Victoria|4665
Incidence|Breast cancer|2019|Females|Queensland|3713
Incidence|Breast cancer|2019|Females|Western Australia|1878
Incidence|Breast cancer|2019|Females|South Australia|1422
Incidence|Breast cancer|2019|Females|Tasmania|431
Incidence|Breast cancer|2019|Females|Australian Capital Territory|290
Incidence|Breast cancer|2019|Females|Northern Territory|104
Incidence|Breast cancer|2019|Females|Australia|18496
Incidence|Breast cancer|2019|Persons|New South Wales|6015
Incidence|Breast cancer|2019|Persons|Victoria|4705
Incidence|Breast cancer|2019|Persons|Queensland|3748
Incidence|Breast cancer|2019|Persons|Western Australia|1893
Incidence|Breast cancer|2019|Persons|South Australia|1438
Incidence|Breast cancer|2019|Persons|Tasmania|435
Incidence|Breast cancer|2019|Persons|Australian Capital Territory|291
Incidence|Breast cancer|2019|Persons|Northern Territory|106
Incidence|Breast cancer|2019|Persons|Australia|18659
Incidence|Cervical cancer|2019|Females|New South Wales|277
Incidence|Cervical cancer|2019|Females|Victoria|222
Incidence|Cervical cancer|2019|Females|Queensland|243
Incidence|Cervical cancer|2019|Females|Western Australia|82
Incidence|Cervical cancer|2019|Females|South Australia|78
Incidence|Cervical cancer|2019|Females|Tasmania|26
Incidence|Cervical cancer|2019|Females|Australian Capital Territory|12
Incidence|Cervical cancer|2019|Females|Northern Territory|9
Incidence|Cervical cancer|2019|Females|Australia|945
Incidence|Cervical cancer|2019|Persons|New South Wales|277
Incidence|Cervical cancer|2019|Persons|Victoria|222
Incidence|Cervical cancer|2019|Persons|Queensland|243
Incidence|Cervical cancer|2019|Persons|Western Australia|82
Incidence|Cervical cancer|2019|Persons|South Australia|78
Incidence|Cervical cancer|2019|Persons|Tasmania|26
Incidence|Cervical cancer|2019|Persons|Australian Capital Territory|12
Incidence|Cervical cancer|2019|Persons|Northern Territory|9
Incidence|Cervical cancer|2019|Persons|Australia|945
Incidence|Chronic lymphocytic leukaemia|2019|Males|New South Wales|385
Incidence|Chronic lymphocytic leukaemia|2019|Males|Victoria|366
Incidence|Chronic lymphocytic leukaemia|2019|Males|Queensland|274
Incidence|Chronic lymphocytic leukaemia|2019|Males|Western Australia|66
Incidence|Chronic lymphocytic leukaemia|2019|Males|South Australia|32
Incidence|Chronic lymphocytic leukaemia|2019|Males|Tasmania|20
Incidence|Chronic lymphocytic leukaemia|2019|Males|Australian Capital Territory|16
Incidence|Chronic lymphocytic leukaemia|2019|Males|Northern Territory|2
Incidence|Chronic lymphocytic leukaemia|2019|Males|Australia|1161
Incidence|Chronic lymphocytic leukaemia|2019|Females|New South Wales|248
Incidence|Chronic lymphocytic leukaemia|2019|Females|Victoria|202
Incidence|Chronic lymphocytic leukaemia|2019|Females|Queensland|166
Incidence|Chronic lymphocytic leukaemia|2019|Females|Western Australia|34
Incidence|Chronic lymphocytic leukaemia|2019|Females|South Australia|20
Incidence|Chronic lymphocytic leukaemia|2019|Females|Tasmania|10
Incidence|Chronic lymphocytic leukaemia|2019|Females|Australian Capital Territory|11
Incidence|Chronic lymphocytic leukaemia|2019|Females|Northern Territory|1
Incidence|Chronic lymphocytic leukaemia|2019|Females|Australia|694
Incidence|Chronic lymphocytic leukaemia|2019|Persons|New South Wales|633
Incidence|Chronic lymphocytic leukaemia|2019|Persons|Victoria|568
Incidence|Chronic lymphocytic leukaemia|2019|Persons|Queensland|440
Incidence|Chronic lymphocytic leukaemia|2019|Persons|Western Australia|100
Incidence|Chronic lymphocytic leukaemia|2019|Persons|South Australia|52
Incidence|Chronic lymphocytic leukaemia|2019|Persons|Tasmania|30
Incidence|Chronic lymphocytic leukaemia|2019|Persons|Australian Capital Territory|27
Incidence|Chronic lymphocytic leukaemia|2019|Persons|Northern Territory|3
Incidence|Chronic lymphocytic leukaemia|2019|Persons|Australia|1855
Incidence|Chronic myeloid leukaemia (CML)|2019|Males|New South Wales|98
Incidence|Chronic myeloid leukaemia (CML)|2019|Males|Victoria|53
Incidence|Chronic myeloid leukaemia (CML)|2019|Males|Queensland|49
Incidence|Chronic myeloid leukaemia (CML)|2019|Males|Western Australia|9
Incidence|Chronic myeloid leukaemia (CML)|2019|Males|South Australia|17
Incidence|Chronic myeloid leukaemia (CML)|2019|Males|Tasmania|2
Incidence|Chronic myeloid leukaemia (CML)|2019|Males|Australian Capital Territory|2
Incidence|Chronic myeloid leukaemia (CML)|2019|Males|Northern Territory|0
Incidence|Chronic myeloid leukaemia (CML)|2019|Males|Australia|229
Incidence|Chronic myeloid leukaemia (CML)|2019|Females|New South Wales|49
Incidence|Chronic myeloid leukaemia (CML)|2019|Females|Victoria|51
Incidence|Chronic myeloid leukaemia (CML)|2019|Females|Queensland|42
Incidence|Chronic myeloid leukaemia (CML)|2019|Females|Western Australia|13
Incidence|Chronic myeloid leukaemia (CML)|2019|Females|South Australia|12
Incidence|Chronic myeloid leukaemia (CML)|2019|Females|Tasmania|1
Incidence|Chronic myeloid leukaemia (CML)|2019|Females|Australian Capital Territory|2
Incidence|Chronic myeloid leukaemia (CML)|2019|Females|Northern Territory|1
Incidence|Chronic myeloid leukaemia (CML)|2019|Females|Australia|169
Incidence|Chronic myeloid leukaemia (CML)|2019|Persons|New South Wales|147
Incidence|Chronic myeloid leukaemia (CML)|2019|Persons|Victoria|104
Incidence|Chronic myeloid leukaemia (CML)|2019|Persons|Queensland|91
Incidence|Chronic myeloid leukaemia (CML)|2019|Persons|Western Australia|22
Incidence|Chronic myeloid leukaemia (CML)|2019|Persons|South Australia|29
Incidence|Chronic myeloid leukaemia (CML)|2019|Persons|Tasmania|3
Incidence|Chronic myeloid leukaemia (CML)|2019|Persons|Australian Capital Territory|4
Incidence|Chronic myeloid leukaemia (CML)|2019|Persons|Northern Territory|2
Incidence|Chronic myeloid leukaemia (CML)|2019|Persons|Australia|398
Incidence|Colon cancer|2019|Males|New South Wales|1791
Incidence|Colon cancer|2019|Males|Victoria|1283
Incidence|Colon cancer|2019|Males|Queensland|1221
Incidence|Colon cancer|2019|Males|Western Australia|453
Incidence|Colon cancer|2019|Males|South Australia|415
Incidence|Colon cancer|2019|Males|Tasmania|136
Incidence|Colon cancer|2019|Males|Australian Capital Territory|66
Incidence|Colon cancer|2019|Males|Northern Territory|34
Incidence|Colon cancer|2019|Males|Australia|5408
Incidence|Colon cancer|2019|Females|New South Wales|1760
Incidence|Colon cancer|2019|Females|Victoria|1269
Incidence|Colon cancer|2019|Females|Queensland|1130
Incidence|Colon cancer|2019|Females|Western Australia|417
Incidence|Colon cancer|2019|Females|South Australia|430
Incidence|Colon cancer|2019|Females|Tasmania|130
Incidence|Colon cancer|2019|Females|Australian Capital Territory|67
Incidence|Colon cancer|2019|Females|Northern Territory|25
Incidence|Colon cancer|2019|Females|Australia|5226
Incidence|Colon cancer|2019|Persons|New South Wales|3551
Incidence|Colon cancer|2019|Persons|Victoria|2552
Incidence|Colon cancer|2019|Persons|Queensland|2351
Incidence|Colon cancer|2019|Persons|Western Australia|870
Incidence|Colon cancer|2019|Persons|South Australia|845
Incidence|Colon cancer|2019|Persons|Tasmania|266
Incidence|Colon cancer|2019|Persons|Australian Capital Territory|133
Incidence|Colon cancer|2019|Persons|Northern Territory|59
Incidence|Colon cancer|2019|Persons|Australia|10634
Incidence|Colorectal cancer|2019|Males|New South Wales|2802
Incidence|Colorectal cancer|2019|Males|Victoria|2071
Incidence|Colorectal cancer|2019|Males|Queensland|1878
Incidence|Colorectal cancer|2019|Males|Western Australia|715
Incidence|Colorectal cancer|2019|Males|South Australia|631
Incidence|Colorectal cancer|2019|Males|Tasmania|201
Incidence|Colorectal cancer|2019|Males|Australian Capital Territory|107
Incidence|Colorectal cancer|2019|Males|Northern Territory|51
Incidence|Colorectal cancer|2019|Males|Australia|8463
Incidence|Colorectal cancer|2019|Females|New South Wales|2362
Incidence|Colorectal cancer|2019|Females|Victoria|1744
Incidence|Colorectal cancer|2019|Females|Queensland|1482
Incidence|Colorectal cancer|2019|Females|Western Australia|593
Incidence|Colorectal cancer|2019|Females|South Australia|584
Incidence|Colorectal cancer|2019|Females|Tasmania|184
Incidence|Colorectal cancer|2019|Females|Australian Capital Territory|91
Incidence|Colorectal cancer|2019|Females|Northern Territory|39
Incidence|Colorectal cancer|2019|Females|Australia|7068
Incidence|Colorectal cancer|2019|Persons|New South Wales|5164
Incidence|Colorectal cancer|2019|Persons|Victoria|3815
Incidence|Colorectal cancer|2019|Persons|Queensland|3360
Incidence|Colorectal cancer|2019|Persons|Western Australia|1308
Incidence|Colorectal cancer|2019|Persons|South Australia|1215
Incidence|Colorectal cancer|2019|Persons|Tasmania|385
Incidence|Colorectal cancer|2019|Persons|Australian Capital Territory|199
Incidence|Colorectal cancer|2019|Persons|Northern Territory|90
Incidence|Colorectal cancer|2019|Persons|Australia|15531
Incidence|Connective, subcutaneous and other soft tissues (cancer of)|2019|Males|New South Wales|159
Incidence|Connective, subcutaneous and other soft tissues (cancer of)|2019|Males|Victoria|104
Incidence|Connective, subcutaneous and other soft tissues (cancer of)|2019|Males|Queensland|76
Incidence|Connective, subcutaneous and other soft tissues (cancer of)|2019|Males|Western Australia|47
Incidence|Connective, subcutaneous and other soft tissues (cancer of)|2019|Males|South Australia|53
Incidence|Connective, subcutaneous and other soft tissues (cancer of)|2019|Males|Tasmania|11
Incidence|Connective, subcutaneous and other soft tissues (cancer of)|2019|Males|Australian Capital Territory|8
Incidence|Connective, subcutaneous and other soft tissues (cancer of)|2019|Males|Northern Territory|3
Incidence|Connective, subcutaneous and other soft tissues (cancer of)|2019|Males|Australia|457
Incidence|Connective, subcutaneous and other soft tissues (cancer of)|2019|Females|New South Wales|95
