DATA_TYPE|CANCER_GROUP_SITE|YEAR|SEX|AGE_GROUP_YEARS|COUNT
Projections|Acute lymphoblastic leukaemia|2020|Females|All ages combined|175
Projections|Acute lymphoblastic leukaemia|2021|Females|00–04|47
Projections|Acute lymphoblastic leukaemia|2021|Females|05–09|29
Projections|Acute lymphoblastic leukaemia|2021|Females|10–14|11
Projections|Acute lymphoblastic leukaemia|2021|Females|15–19|9
Projections|Acute lymphoblastic leukaemia|2021|Females|20–24|6
Projections|Acute lymphoblastic leukaemia|2021|Females|25–29|2
Projections|Acute lymphoblastic leukaemia|2021|Females|30–34|5
Projections|Acute lymphoblastic leukaemia|2021|Females|35–39|4
Projections|Acute lymphoblastic leukaemia|2021|Females|40–44|7
Projections|Acute lymphoblastic leukaemia|2021|Females|45–49|7
Projections|Acute lymphoblastic leukaemia|2021|Females|50–54|5
Projections|Acute lymphoblastic leukaemia|2021|Females|55–59|8
Projections|Acute lymphoblastic leukaemia|2021|Females|60–64|3
Projections|Acute lymphoblastic leukaemia|2021|Females|65–69|8
Projections|Acute lymphoblastic leukaemia|2021|Females|70–74|5
Projections|Acute lymphoblastic leukaemia|2021|Females|75–79|7
Projections|Acute lymphoblastic leukaemia|2021|Females|80–84|3
Projections|Acute lymphoblastic leukaemia|2021|Females|85–89|4
Projections|Acute lymphoblastic leukaemia|2021|Females|90+|3
Projections|Acute lymphoblastic leukaemia|2021|Females|All ages combined|173
Projections|Acute lymphoblastic leukaemia|2022|Females|00–04|47
Projections|Acute lymphoblastic leukaemia|2022|Females|05–09|29
Projections|Acute lymphoblastic leukaemia|2022|Females|10–14|11
Projections|Acute lymphoblastic leukaemia|2022|Females|15–19|9
Projections|Acute lymphoblastic leukaemia|2022|Females|20–24|6
Projections|Acute lymphoblastic leukaemia|2022|Females|25–29|1
Projections|Acute lymphoblastic leukaemia|2022|Females|30–34|5
Projections|Acute lymphoblastic leukaemia|2022|Females|35–39|4
Projections|Acute lymphoblastic leukaemia|2022|Females|40–44|8
Projections|Acute lymphoblastic leukaemia|2022|Females|45–49|7
Projections|Acute lymphoblastic leukaemia|2022|Females|50–54|5
Projections|Acute lymphoblastic leukaemia|2022|Females|55–59|8
Projections|Acute lymphoblastic leukaemia|2022|Females|60–64|3
Projections|Acute lymphoblastic leukaemia|2022|Females|65–69|8
Projections|Acute lymphoblastic leukaemia|2022|Females|70–74|5
Projections|Acute lymphoblastic leukaemia|2022|Females|75–79|8
Projections|Acute lymphoblastic leukaemia|2022|Females|80–84|3
Projections|Acute lymphoblastic leukaemia|2022|Females|85–89|4
Projections|Acute lymphoblastic leukaemia|2022|Females|90+|3
Projections|Acute lymphoblastic leukaemia|2022|Females|All ages combined|174
Projections|Acute lymphoblastic leukaemia|2023|Females|00–04|47
Projections|Acute lymphoblastic leukaemia|2023|Females|05–09|28
Projections|Acute lymphoblastic leukaemia|2023|Females|10–14|10
Projections|Acute lymphoblastic leukaemia|2023|Females|15–19|10
Projections|Acute lymphoblastic leukaemia|2023|Females|20–24|7
Projections|Acute lymphoblastic leukaemia|2023|Females|25–29|1
Projections|Acute lymphoblastic leukaemia|2023|Females|30–34|5
Projections|Acute lymphoblastic leukaemia|2023|Females|35–39|4
Projections|Acute lymphoblastic leukaemia|2023|Females|40–44|9
Projections|Acute lymphoblastic leukaemia|2023|Females|45–49|7
Projections|Acute lymphoblastic leukaemia|2023|Females|50–54|5
Projections|Acute lymphoblastic leukaemia|2023|Females|55–59|8
Projections|Acute lymphoblastic leukaemia|2023|Females|60–64|2
Projections|Acute lymphoblastic leukaemia|2023|Females|65–69|9
Projections|Acute lymphoblastic leukaemia|2023|Females|70–74|5
Projections|Acute lymphoblastic leukaemia|2023|Females|75–79|9
Projections|Acute lymphoblastic leukaemia|2023|Females|80–84|3
Projections|Acute lymphoblastic leukaemia|2023|Females|85–89|5
Projections|Acute lymphoblastic leukaemia|2023|Females|90+|3
Projections|Acute lymphoblastic leukaemia|2023|Females|All ages combined|177
Actual|Acute lymphoblastic leukaemia|2019|Persons|00–04|119
Actual|Acute lymphoblastic leukaemia|2019|Persons|05–09|59
Actual|Acute lymphoblastic leukaemia|2019|Persons|10–14|24
Actual|Acute lymphoblastic leukaemia|2019|Persons|15–19|27
Actual|Acute lymphoblastic leukaemia|2019|Persons|20–24|21
Actual|Acute lymphoblastic leukaemia|2019|Persons|25–29|15
Actual|Acute lymphoblastic leukaemia|2019|Persons|30–34|9
Actual|Acute lymphoblastic leukaemia|2019|Persons|35–39|13
Actual|Acute lymphoblastic leukaemia|2019|Persons|40–44|19
Actual|Acute lymphoblastic leukaemia|2019|Persons|45–49|11
Actual|Acute lymphoblastic leukaemia|2019|Persons|50–54|10
Actual|Acute lymphoblastic leukaemia|2019|Persons|55–59|10
Actual|Acute lymphoblastic leukaemia|2019|Persons|60–64|6
Actual|Acute lymphoblastic leukaemia|2019|Persons|65–69|21
Actual|Acute lymphoblastic leukaemia|2019|Persons|70–74|14
Actual|Acute lymphoblastic leukaemia|2019|Persons|75–79|11
Actual|Acute lymphoblastic leukaemia|2019|Persons|80–84|6
Actual|Acute lymphoblastic leukaemia|2019|Persons|85–89|1
Actual|Acute lymphoblastic leukaemia|2019|Persons|90+|1
Actual|Acute lymphoblastic leukaemia|2019|Persons|All ages combined|397
Projections|Acute lymphoblastic leukaemia|2020|Persons|00–04|100
Projections|Acute lymphoblastic leukaemia|2020|Persons|05–09|58
Projections|Acute lymphoblastic leukaemia|2020|Persons|10–14|32
Projections|Acute lymphoblastic leukaemia|2020|Persons|15–19|26
Projections|Acute lymphoblastic leukaemia|2020|Persons|20–24|17
Projections|Acute lymphoblastic leukaemia|2020|Persons|25–29|9
Projections|Acute lymphoblastic leukaemia|2020|Persons|30–34|9
Projections|Acute lymphoblastic leukaemia|2020|Persons|35–39|15
Projections|Acute lymphoblastic leukaemia|2020|Persons|40–44|13
Projections|Acute lymphoblastic leukaemia|2020|Persons|45–49|17
Projections|Acute lymphoblastic leukaemia|2020|Persons|50–54|14
Projections|Acute lymphoblastic leukaemia|2020|Persons|55–59|13
Projections|Acute lymphoblastic leukaemia|2020|Persons|60–64|10
Projections|Acute lymphoblastic leukaemia|2020|Persons|65–69|17
Projections|Acute lymphoblastic leukaemia|2020|Persons|70–74|13
Projections|Acute lymphoblastic leukaemia|2020|Persons|75–79|13
Projections|Acute lymphoblastic leukaemia|2020|Persons|80–84|8
Projections|Acute lymphoblastic leukaemia|2020|Persons|85–89|5
Projections|Acute lymphoblastic leukaemia|2020|Persons|90+|3
Projections|Acute lymphoblastic leukaemia|2020|Persons|All ages combined|392
Projections|Acute lymphoblastic leukaemia|2021|Persons|00–04|98
Projections|Acute lymphoblastic leukaemia|2021|Persons|05–09|57
Projections|Acute lymphoblastic leukaemia|2021|Persons|10–14|33
Projections|Acute lymphoblastic leukaemia|2021|Persons|15–19|26
Projections|Acute lymphoblastic leukaemia|2021|Persons|20–24|17
Projections|Acute lymphoblastic leukaemia|2021|Persons|25–29|8
Projections|Acute lymphoblastic leukaemia|2021|Persons|30–34|9
Projections|Acute lymphoblastic leukaemia|2021|Persons|35–39|14
Projections|Acute lymphoblastic leukaemia|2021|Persons|40–44|13
Projections|Acute lymphoblastic leukaemia|2021|Persons|45–49|17
Projections|Acute lymphoblastic leukaemia|2021|Persons|50–54|14
Projections|Acute lymphoblastic leukaemia|2021|Persons|55–59|13
Projections|Acute lymphoblastic leukaemia|2021|Persons|60–64|8
Projections|Acute lymphoblastic leukaemia|2021|Persons|65–69|17
Projections|Acute lymphoblastic leukaemia|2021|Persons|70–74|13
Projections|Acute lymphoblastic leukaemia|2021|Persons|75–79|15
Projections|Acute lymphoblastic leukaemia|2021|Persons|80–84|8
Projections|Acute lymphoblastic leukaemia|2021|Persons|85–89|5
Projections|Acute lymphoblastic leukaemia|2021|Persons|90+|3
Projections|Acute lymphoblastic leukaemia|2021|Persons|All ages combined|388
Projections|Acute lymphoblastic leukaemia|2022|Persons|00–04|97
Projections|Acute lymphoblastic leukaemia|2022|Persons|05–09|56
Projections|Acute lymphoblastic leukaemia|2022|Persons|10–14|33
Projections|Acute lymphoblastic leukaemia|2022|Persons|15–19|26
Projections|Acute lymphoblastic leukaemia|2022|Persons|20–24|17
Projections|Acute lymphoblastic leukaemia|2022|Persons|25–29|7
Projections|Acute lymphoblastic leukaemia|2022|Persons|30–34|8
Projections|Acute lymphoblastic leukaemia|2022|Persons|35–39|15
Projections|Acute lymphoblastic leukaemia|2022|Persons|40–44|15
Projections|Acute lymphoblastic leukaemia|2022|Persons|45–49|18
Projections|Acute lymphoblastic leukaemia|2022|Persons|50–54|15
Projections|Acute lymphoblastic leukaemia|2022|Persons|55–59|12
Projections|Acute lymphoblastic leukaemia|2022|Persons|60–64|8
Projections|Acute lymphoblastic leukaemia|2022|Persons|65–69|17
Projections|Acute lymphoblastic leukaemia|2022|Persons|70–74|12
Projections|Acute lymphoblastic leukaemia|2022|Persons|75–79|17
Projections|Acute lymphoblastic leukaemia|2022|Persons|80–84|8
Projections|Acute lymphoblastic leukaemia|2022|Persons|85–89|5
Projections|Acute lymphoblastic leukaemia|2022|Persons|90+|3
Projections|Acute lymphoblastic leukaemia|2022|Persons|All ages combined|389
Projections|Acute lymphoblastic leukaemia|2023|Persons|00–04|96
Projections|Acute lymphoblastic leukaemia|2023|Persons|05–09|54
Projections|Acute lymphoblastic leukaemia|2023|Persons|10–14|33
Projections|Acute lymphoblastic leukaemia|2023|Persons|15–19|28
Projections|Acute lymphoblastic leukaemia|2023|Persons|20–24|18
Projections|Acute lymphoblastic leukaemia|2023|Persons|25–29|7
Projections|Acute lymphoblastic leukaemia|2023|Persons|30–34|8
Projections|Acute lymphoblastic leukaemia|2023|Persons|35–39|15
Projections|Acute lymphoblastic leukaemia|2023|Persons|40–44|16
Projections|Acute lymphoblastic leukaemia|2023|Persons|45–49|18
Projections|Acute lymphoblastic leukaemia|2023|Persons|50–54|15
Projections|Acute lymphoblastic leukaemia|2023|Persons|55–59|12
Projections|Acute lymphoblastic leukaemia|2023|Persons|60–64|7
Projections|Acute lymphoblastic leukaemia|2023|Persons|65–69|18
Projections|Acute lymphoblastic leukaemia|2023|Persons|70–74|12
Projections|Acute lymphoblastic leukaemia|2023|Persons|75–79|19
Projections|Acute lymphoblastic leukaemia|2023|Persons|80–84|9
Projections|Acute lymphoblastic leukaemia|2023|Persons|85–89|6
Projections|Acute lymphoblastic leukaemia|2023|Persons|90+|3
Projections|Acute lymphoblastic leukaemia|2023|Persons|All ages combined|394
Actual|Acute myeloid leukaemia|2019|Males|00–04|10
Actual|Acute myeloid leukaemia|2019|Males|05–09|2
Actual|Acute myeloid leukaemia|2019|Males|10–14|7
Actual|Acute myeloid leukaemia|2019|Males|15–19|8
Actual|Acute myeloid leukaemia|2019|Males|20–24|12
Actual|Acute myeloid leukaemia|2019|Males|25–29|10
Actual|Acute myeloid leukaemia|2019|Males|30–34|14
Actual|Acute myeloid leukaemia|2019|Males|35–39|14
Actual|Acute myeloid leukaemia|2019|Males|40–44|22
Actual|Acute myeloid leukaemia|2019|Males|45–49|27
Actual|Acute myeloid leukaemia|2019|Males|50–54|23
Actual|Acute myeloid leukaemia|2019|Males|55–59|37
Actual|Acute myeloid leukaemia|2019|Males|60–64|55
Actual|Acute myeloid leukaemia|2019|Males|65–69|83
Actual|Acute myeloid leukaemia|2019|Males|70–74|101
Actual|Acute myeloid leukaemia|2019|Males|75–79|99
Actual|Acute myeloid leukaemia|2019|Males|80–84|85
Actual|Acute myeloid leukaemia|2019|Males|85–89|47
Actual|Acute myeloid leukaemia|2019|Males|90+|37
Actual|Acute myeloid leukaemia|2019|Males|All ages combined|693
Projections|Acute myeloid leukaemia|2020|Males|00–04|7
Projections|Acute myeloid leukaemia|2020|Males|05–09|4
Projections|Acute myeloid leukaemia|2020|Males|10–14|5
Projections|Acute myeloid leukaemia|2020|Males|15–19|6
Projections|Acute myeloid leukaemia|2020|Males|20–24|10
Projections|Acute myeloid leukaemia|2020|Males|25–29|8
Projections|Acute myeloid leukaemia|2020|Males|30–34|10
Projections|Acute myeloid leukaemia|2020|Males|35–39|16
Projections|Acute myeloid leukaemia|2020|Males|40–44|20
Projections|Acute myeloid leukaemia|2020|Males|45–49|20
Projections|Acute myeloid leukaemia|2020|Males|50–54|33
Projections|Acute myeloid leukaemia|2020|Males|55–59|42
Projections|Acute myeloid leukaemia|2020|Males|60–64|56
Projections|Acute myeloid leukaemia|2020|Males|65–69|83
Projections|Acute myeloid leukaemia|2020|Males|70–74|107
Projections|Acute myeloid leukaemia|2020|Males|75–79|111
Projections|Acute myeloid leukaemia|2020|Males|80–84|90
Projections|Acute myeloid leukaemia|2020|Males|85–89|53
Projections|Acute myeloid leukaemia|2020|Males|90+|40
Projections|Acute myeloid leukaemia|2020|Males|All ages combined|721
Projections|Acute myeloid leukaemia|2021|Males|00–04|6
Projections|Acute myeloid leukaemia|2021|Males|05–09|4
Projections|Acute myeloid leukaemia|2021|Males|10–14|5
Projections|Acute myeloid leukaemia|2021|Males|15–19|6
Projections|Acute myeloid leukaemia|2021|Males|20–24|10
Projections|Acute myeloid leukaemia|2021|Males|25–29|7
Projections|Acute myeloid leukaemia|2021|Males|30–34|10
Projections|Acute myeloid leukaemia|2021|Males|35–39|17
Projections|Acute myeloid leukaemia|2021|Males|40–44|21
Projections|Acute myeloid leukaemia|2021|Males|45–49|20
Projections|Acute myeloid leukaemia|2021|Males|50–54|34
Projections|Acute myeloid leukaemia|2021|Males|55–59|40
Projections|Acute myeloid leukaemia|2021|Males|60–64|56
Projections|Acute myeloid leukaemia|2021|Males|65–69|84
Projections|Acute myeloid leukaemia|2021|Males|70–74|111
Projections|Acute myeloid leukaemia|2021|Males|75–79|118
Projections|Acute myeloid leukaemia|2021|Males|80–84|97
Projections|Acute myeloid leukaemia|2021|Males|85–89|54
Projections|Acute myeloid leukaemia|2021|Males|90+|44
Projections|Acute myeloid leukaemia|2021|Males|All ages combined|744
Projections|Acute myeloid leukaemia|2022|Males|00–04|6
Projections|Acute myeloid leukaemia|2022|Males|05–09|3
Projections|Acute myeloid leukaemia|2022|Males|10–14|5
Projections|Acute myeloid leukaemia|2022|Males|15–19|6
Projections|Acute myeloid leukaemia|2022|Males|20–24|10
Projections|Acute myeloid leukaemia|2022|Males|25–29|7
Projections|Acute myeloid leukaemia|2022|Males|30–34|10
Projections|Acute myeloid leukaemia|2022|Males|35–39|18
Projections|Acute myeloid leukaemia|2022|Males|40–44|22
Projections|Acute myeloid leukaemia|2022|Males|45–49|19
Projections|Acute myeloid leukaemia|2022|Males|50–54|36
Projections|Acute myeloid leukaemia|2022|Males|55–59|39
Projections|Acute myeloid leukaemia|2022|Males|60–64|57
Projections|Acute myeloid leukaemia|2022|Males|65–69|86
Projections|Acute myeloid leukaemia|2022|Males|70–74|111
Projections|Acute myeloid leukaemia|2022|Males|75–79|129
Projections|Acute myeloid leukaemia|2022|Males|80–84|103
Projections|Acute myeloid leukaemia|2022|Males|85–89|57
Projections|Acute myeloid leukaemia|2022|Males|90+|48
Projections|Acute myeloid leukaemia|2022|Males|All ages combined|772
Projections|Acute myeloid leukaemia|2023|Males|00–04|5
Projections|Acute myeloid leukaemia|2023|Males|05–09|3
Projections|Acute myeloid leukaemia|2023|Males|10–14|5
Projections|Acute myeloid leukaemia|2023|Males|15–19|6
Projections|Acute myeloid leukaemia|2023|Males|20–24|10
Projections|Acute myeloid leukaemia|2023|Males|25–29|7
Projections|Acute myeloid leukaemia|2023|Males|30–34|10
Projections|Acute myeloid leukaemia|2023|Males|35–39|18
Projections|Acute myeloid leukaemia|2023|Males|40–44|23
Projections|Acute myeloid leukaemia|2023|Males|45–49|19
Projections|Acute myeloid leukaemia|2023|Males|50–54|37
Projections|Acute myeloid leukaemia|2023|Males|55–59|38
Projections|Acute myeloid leukaemia|2023|Males|60–64|57
Projections|Acute myeloid leukaemia|2023|Males|65–69|89
Projections|Acute myeloid leukaemia|2023|Males|70–74|113
Projections|Acute myeloid leukaemia|2023|Males|75–79|139
Projections|Acute myeloid leukaemia|2023|Males|80–84|109
Projections|Acute myeloid leukaemia|2023|Males|85–89|59
Projections|Acute myeloid leukaemia|2023|Males|90+|52
Projections|Acute myeloid leukaemia|2023|Males|All ages combined|799
Actual|Acute myeloid leukaemia|2019|Females|00–04|5
Actual|Acute myeloid leukaemia|2019|Females|05–09|4
Actual|Acute myeloid leukaemia|2019|Females|10–14|6
Actual|Acute myeloid leukaemia|2019|Females|15–19|5
Actual|Acute myeloid leukaemia|2019|Females|20–24|5
Actual|Acute myeloid leukaemia|2019|Females|25–29|9
Actual|Acute myeloid leukaemia|2019|Females|30–34|17
Actual|Acute myeloid leukaemia|2019|Females|35–39|16
Actual|Acute myeloid leukaemia|2019|Females|40–44|12
Actual|Acute myeloid leukaemia|2019|Females|45–49|25
Actual|Acute myeloid leukaemia|2019|Females|50–54|33
Actual|Acute myeloid leukaemia|2019|Females|55–59|32
Actual|Acute myeloid leukaemia|2019|Females|60–64|39
Actual|Acute myeloid leukaemia|2019|Females|65–69|62
Actual|Acute myeloid leukaemia|2019|Females|70–74|60
Actual|Acute myeloid leukaemia|2019|Females|75–79|60
Actual|Acute myeloid leukaemia|2019|Females|80–84|51
Actual|Acute myeloid leukaemia|2019|Females|85–89|39
Actual|Acute myeloid leukaemia|2019|Females|90+|33
Actual|Acute myeloid leukaemia|2019|Females|All ages combined|513
Projections|Acute myeloid leukaemia|2020|Females|00–04|9
Projections|Acute myeloid leukaemia|2020|Females|05–09|2
Projections|Acute myeloid leukaemia|2020|Females|10–14|6
Projections|Acute myeloid leukaemia|2020|Females|15–19|6
Projections|Acute myeloid leukaemia|2020|Females|20–24|4
Projections|Acute myeloid leukaemia|2020|Females|25–29|7
Projections|Acute myeloid leukaemia|2020|Females|30–34|17
Projections|Acute myeloid leukaemia|2020|Females|35–39|15
Projections|Acute myeloid leukaemia|2020|Females|40–44|13
Projections|Acute myeloid leukaemia|2020|Females|45–49|25
Projections|Acute myeloid leukaemia|2020|Females|50–54|34
Projections|Acute myeloid leukaemia|2020|Females|55–59|34
Projections|Acute myeloid leukaemia|2020|Females|60–64|36
Projections|Acute myeloid leukaemia|2020|Females|65–69|63
Projections|Acute myeloid leukaemia|2020|Females|70–74|58
Projections|Acute myeloid leukaemia|2020|Females|75–79|64
Projections|Acute myeloid leukaemia|2020|Females|80–84|46
Projections|Acute myeloid leukaemia|2020|Females|85–89|39
Projections|Acute myeloid leukaemia|2020|Females|90+|32
Projections|Acute myeloid leukaemia|2020|Females|All ages combined|510
Projections|Acute myeloid leukaemia|2021|Females|00–04|9
Projections|Acute myeloid leukaemia|2021|Females|05–09|2
Projections|Acute myeloid leukaemia|2021|Females|10–14|6
Projections|Acute myeloid leukaemia|2021|Females|15–19|6
